City,Country,Latitude,Longitude,Date,Clouds,Humidity,Temperature,Wind
acarau,BR,-2.89,-40.12,1595525364,38,60,302.68,7.93
aguimes,ES,27.91,-15.45,1595525364,20,65,299.15,14.4
qaanaaq,GL,77.48,-69.36,1595525365,0,51,282.62,0.73
georgetown,MY,5.41,100.34,1595525272,20,88,300.15,2.1
iqaluit,CA,63.75,-68.51,1595525365,90,81,282.15,1.5
hilo,US,19.73,-155.09,1595525365,90,78,296.15,1.38
bredasdorp,ZA,-34.53,20.04,1595525365,0,93,284.15,1.5
grand-santi,GF,4.25,-54.38,1595525365,63,54,305.13,1.98
san andres,CO,12.58,-81.7,1595525209,90,70,304.15,6.2
albany,US,42.6,-73.97,1595525269,62,79,302.04,1.94
atuona,PF,-9.8,-139.03,1595525366,6,74,298.88,9.54
gizo,SB,-8.1,156.84,1595525366,73,75,300.89,3.08
saint-philippe,RE,-21.36,55.77,1595525367,75,59,292.15,4.1
cidreira,BR,-30.18,-50.21,1595525269,99,70,294.84,3.41
nueva loja,EC,0.08,-76.88,1595525367,75,74,300.15,2.6
puerto escondido,MX,15.85,-97.07,1595525367,40,70,303.15,3.1
pisco,PE,-13.7,-76.22,1595525368,7,72,293.15,2.6
ponta do sol,PT,32.67,-17.1,1595525368,20,64,297.15,6.2
puerto ayora,EC,-0.74,-90.35,1595525368,20,69,298.15,9.8
tuy hoa,VN,13.08,109.3,1595525368,100,85,298.81,1.99
butaritari,KI,3.07,172.79,1595525285,2,77,301.19,5.85
lebu,CL,-37.62,-73.65,1595525369,46,62,282.68,1.18
sinnamary,GF,5.38,-52.95,1595525369,60,80,301.06,3.91
dinhata,IN,26.13,89.47,1595525369,100,91,299.69,3.98
ushuaia,AR,-54.8,-68.3,1595525370,75,69,277.15,3.1
villarrica,PY,-25.75,-56.43,1595525370,14,40,302.06,3.6
juneau,US,58.3,-134.42,1595525206,90,93,285.93,4.6
east london,ZA,-33.02,27.91,1595525370,0,55,292.6,4.66
clarence town,AU,-32.58,151.78,1595525370,75,100,278.71,2.6
zhigansk,RU,66.77,123.37,1595525370,42,81,287.53,4.94
tuktoyaktuk,CA,69.45,-133.04,1595525371,75,62,285.15,5.1
muisne,EC,0.6,-80.03,1595525371,90,88,298.15,3.6
hobart,AU,-42.88,147.33,1595525326,97,75,278.71,2.6
carnarvon,AU,-24.87,113.63,1595525371,0,100,289.15,4.6
rikitea,PF,-23.12,-134.97,1595525372,3,66,292.46,8.51
honiara,SB,-9.43,159.95,1595525372,40,83,297.15,1.5
bennettsville,US,34.62,-79.68,1595525372,1,55,307.59,3.1
ambilobe,MG,-13.2,49.05,1595525372,94,70,294.15,1.15
inhambane,MZ,-23.86,35.38,1595525373,40,72,293.15,2.6
khatanga,RU,71.97,102.5,1595525373,100,85,278.93,8.01
boende,CD,-0.22,20.87,1595525373,94,54,300.81,1.04
kapaa,US,22.08,-159.32,1595525374,40,83,299.15,4.6
koksovyy,RU,48.2,40.6,1595525374,30,45,293.4,2.9
coquimbo,CL,-29.95,-71.34,1595525374,4,47,288.15,5.1
cherskiy,RU,68.75,161.3,1595525374,29,65,290.45,2.86
bengkulu,ID,-3.8,102.27,1595525089,99,90,297.59,2.25
muros,ES,42.78,-9.06,1595525374,13,64,300.37,6.7
mataura,NZ,-46.19,168.86,1595525284,92,83,277.04,1.34
berlevag,NO,70.86,29.09,1595525285,90,100,283.15,2.1
lubbock,US,33.6,-101.83,1595525124,20,51,302.15,2.1
touros,BR,-5.2,-35.46,1595525375,40,58,302.15,6.2
port alfred,ZA,-33.59,26.89,1595525375,0,53,290.79,3.46
anzio,IT,41.49,12.62,1595525376,0,76,303.15,2.68
massena,US,44.93,-74.89,1595525376,90,78,296.48,2.1
kodiak,US,57.79,-152.41,1595525376,1,71,287.15,2.1
cape town,ZA,-33.93,18.42,1595525332,0,93,289.82,1.5
chuy,UY,-33.7,-53.46,1595525279,100,94,292.3,3.27
killybegs,IE,54.63,-8.45,1595525377,90,82,288.15,4.6
kloulklubed,PW,7.04,134.26,1595525377,40,88,298.15,2.1
oranjemund,NA,-28.55,16.43,1595525378,0,20,296.64,4.0
hobyo,SO,5.35,48.53,1595525378,83,70,298.74,13.26
avera,US,33.19,-82.53,1595525378,40,59,305.37,2.1
yenagoa,NG,4.92,6.26,1595525378,99,88,297.97,2.28
nemuro,JP,43.32,145.57,1595525379,100,98,288.25,4.56
severo-kurilsk,RU,50.68,156.12,1595525379,99,91,283.04,1.66
portland,US,45.52,-122.68,1595525181,90,72,290.93,3.1
la ronge,CA,55.1,-105.28,1595525379,75,88,295.15,3.1
arraial do cabo,BR,-22.97,-42.03,1595525380,50,61,301.15,7.7
busselton,AU,-33.65,115.33,1595525380,5,72,280.93,1.62
tasiilaq,GL,65.61,-37.64,1595525280,75,80,278.15,5.1
